epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5339,1.75564,3.31333,1.83401,0.35964,0.35278,0.32358,0.12515,2.04868,2.47834,2.09055,0.000332407,0.000332407,0.000332407
2,66.0545,1.77015,2.59134,1.84866,0.39467,0.44263,0.3767,0.15344,2.08745,3.35832,2.12846,0.00065915,0.00065915,0.00065915
3,96.8027,1.72232,2.38173,1.81084,0.55288,0.48571,0.39748,0.16345,1.86901,2.56144,1.98517,0.000979292,0.000979292,0.000979292
4,127.721,1.6755,2.25269,1.78509,0.52667,0.47253,0.47326,0.19644,1.88634,2.21945,2.0596,0.0009703,0.0009703,0.0009703
5,158.478,1.63242,2.08932,1.74663,0.33805,0.47611,0.37079,0.15041,1.97497,2.59789,2.06156,0.0009604,0.0009604,0.0009604
6,189.683,1.62365,2.06776,1.75371,0.48268,0.54792,0.4799,0.20715,1.76356,1.97456,1.92118,0.0009505,0.0009505,0.0009505
7,221.686,1.62691,2.00524,1.75624,0.52917,0.54755,0.54367,0.22317,1.865,1.80721,1.90803,0.0009406,0.0009406,0.0009406
8,252.447,1.58686,1.90411,1.70337,0.51422,0.55112,0.53355,0.2228,1.8137,1.919,1.91753,0.0009307,0.0009307,0.0009307
9,283.48,1.59202,1.89986,1.70176,0.49048,0.5597,0.52985,0.23436,1.79841,1.81944,1.90227,0.0009208,0.0009208,0.0009208
10,313.286,1.54489,1.7685,1.6846,0.53206,0.55654,0.57579,0.25611,1.75313,1.76332,1.88144,0.0009109,0.0009109,0.0009109
11,343.444,1.54692,1.77803,1.68009,0.71622,0.54794,0.61961,0.29362,1.68031,1.72847,1.82479,0.000901,0.000901,0.000901
12,374.199,1.52958,1.76979,1.67385,0.70528,0.45307,0.56498,0.25633,1.7475,1.79508,1.89784,0.0008911,0.0008911,0.0008911
13,404.872,1.52141,1.764,1.65723,0.71467,0.54373,0.5956,0.28168,1.68257,1.722,1.82868,0.0008812,0.0008812,0.0008812
14,436.055,1.51621,1.72125,1.65136,0.57368,0.54016,0.58035,0.27061,1.73625,1.7156,1.84089,0.0008713,0.0008713,0.0008713
